"filename", "language", "TypeScript", "HTML", "Svelte", "MS SQL", "Markdown", "XML", "PostCSS", "comment", "blank", "total"
"/home/dharon/watum/src/lib/server/migrations/021_grades_constraints.sql", "MS SQL", 0, 0, 0, 23, 0, 0, 0, 2, 6, 31
"/home/dharon/watum/src/lib/server/migrations/README.md", "Markdown", 0, 0, 0, 0, 105, 0, 0, 0, 41, 146
"/home/dharon/watum/src/lib/server/search.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 5, 7, 70
"/home/dharon/watum/src/lib/server/sql/crud/class_rooms/delete-from-class_rooms.sql", "MS SQL", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"/home/dharon/watum/src/lib/server/sql/crud/class_rooms/delete-from-class_rooms.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/home/dharon/watum/src/lib/server/sql/crud/class_rooms/index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/dharon/watum/src/lib/server/sql/crud/class_rooms/insert-into-class_rooms.sql", "MS SQL", 0, 0, 0, 22, 0, 0, 0, 0, 0, 22
"/home/dharon/watum/src/lib/server/sql/crud/class_rooms/insert-into-class_rooms.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 4, 47
"/home/dharon/watum/src/lib/server/sql/crud/class_rooms/select-from-class_rooms.sql", "MS SQL", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"/home/dharon/watum/src/lib/server/sql/crud/class_rooms/select-from-class_rooms.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/home/dharon/watum/src/lib/server/sql/crud/class_rooms/update-class_rooms.sql", "MS SQL", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"/home/dharon/watum/src/lib/server/sql/crud/class_rooms/update-class_rooms.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"/home/dharon/watum/src/lib/server/sql/crud/courses/delete-from-courses.sql", "MS SQL", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"/home/dharon/watum/src/lib/server/sql/crud/courses/delete-from-courses.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/home/dharon/watum/src/lib/server/sql/crud/courses/index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/dharon/watum/src/lib/server/sql/crud/courses/insert-into-courses.sql", "MS SQL", 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"/home/dharon/watum/src/lib/server/sql/crud/courses/insert-into-courses.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/home/dharon/watum/src/lib/server/sql/crud/courses/select-from-courses.sql", "MS SQL", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"/home/dharon/watum/src/lib/server/sql/crud/courses/select-from-courses.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 5, 48
